3,-,3,-,6,-,6,
8,-,8,-,10,-,10,
2,-,2,-,5,-,5,
7,-,7,-,9,-,9,
1,-,1,-,4,-,4,
21,21,21,-,32,32,32,
42,42,42,-,52,52,52,
20,20,20,-,31,31,31,
41,41,41,-,51,51,51,
19,19,19,-,30,30,30,
40,40,40,-,50,50,50,
18,18,18,-,29,29,29,
39,39,39,-,49,49,49,
17,17,17,-,28,28,28,
38,38,38,-,48,48,48,
16,16,16,-,27,27,27,
37,37,37,-,47,47,47,
15,15,15,-,26,26,26,
36,36,36,-,46,46,46,
14,14,14,-,25,25,25,
35,35,35,-,45,45,45,
13,13,13,-,24,24,24,
34,34,34,-,44,44,44,
12,12,12,-,23,23,23,
33,33,33,-,43,43,43,
11,11,11,-,22,22,22,
